Loading pretrained model weights selectively (backbone)
----------
epoch 1
1/849, train_loss: 0.7788
292/849, train_loss: 0.7942
293/849, train_loss: 0.5784
294/849, train_loss: 0.7244
295/849, train_loss: 0.8838
296/849, train_loss: 0.8933
297/849, train_loss: 0.5264
298/849, train_loss: 0.9016
299/849, train_loss: 0.6716
300/849, train_loss: 0.6709
301/849, train_loss: 0.6946
302/849, train_loss: 0.5754
303/849, train_loss: 0.5786
304/849, train_loss: 0.8474
305/849, train_loss: 0.5669
306/849, train_loss: 0.7070
307/849, train_loss: 0.5764
308/849, train_loss: 0.6919
309/849, train_loss: 0.7041
310/849, train_loss: 0.7310
311/849, train_loss: 0.6576
312/849, train_loss: 0.6667
313/849, train_loss: 0.5305
314/849, train_loss: 0.5259
315/849, train_loss: 0.5236
316/849, train_loss: 0.7080
317/849, train_loss: 0.8423
318/849, train_loss: 0.9851
319/849, train_loss: 0.7310
320/849, train_loss: 0.6956
321/849, train_loss: 0.9678
322/849, train_loss: 0.4927
323/849, train_loss: 0.5120
324/849, train_loss: 0.7642
325/849, train_loss: 0.5039
326/849, train_loss: 0.5021
327/849, train_loss: 0.7617
328/849, train_loss: 0.7115
329/849, train_loss: 0.7798
330/849, train_loss: 0.9824
331/849, train_loss: 0.6033
332/849, train_loss: 0.9570
333/849, train_loss: 0.9080
334/849, train_loss: 0.6482
335/849, train_loss: 0.7012
336/849, train_loss: 0.7283
337/849, train_loss: 0.6111
338/849, train_loss: 0.7666
339/849, train_loss: 0.6633
340/849, train_loss: 0.7332
341/849, train_loss: 0.7002
342/849, train_loss: 0.7549
343/849, train_loss: 0.6936
344/849, train_loss: 0.7791
345/849, train_loss: 0.6252
346/849, train_loss: 0.7009
347/849, train_loss: 0.7051
348/849, train_loss: 0.7056
349/849, train_loss: 0.8225
350/849, train_loss: 0.7520
351/849, train_loss: 0.6765
352/849, train_loss: 0.8196
353/849, train_loss: 0.8054
354/849, train_loss: 0.7698
355/849, train_loss: 0.7546
356/849, train_loss: 0.6997
357/849, train_loss: 0.6680
358/849, train_loss: 0.6641
359/849, train_loss: 0.6533
360/849, train_loss: 0.7520
361/849, train_loss: 0.6296
362/849, train_loss: 0.7554
363/849, train_loss: 0.7761
364/849, train_loss: 0.7119
365/849, train_loss: 0.7415
366/849, train_loss: 0.5060
367/849, train_loss: 0.6802
368/849, train_loss: 0.9814
369/849, train_loss: 0.7417
370/849, train_loss: 0.4766
371/849, train_loss: 0.6908
372/849, train_loss: 0.7145
373/849, train_loss: 0.7327
374/849, train_loss: 0.7078
375/849, train_loss: 0.4926
376/849, train_loss: 0.4941
377/849, train_loss: 0.9573
378/849, train_loss: 0.4968
379/849, train_loss: 0.9539
380/849, train_loss: 0.7422
381/849, train_loss: 0.7559
382/849, train_loss: 0.5154
383/849, train_loss: 0.7329
384/849, train_loss: 0.7043
385/849, train_loss: 0.6899
386/849, train_loss: 0.7397
387/849, train_loss: 0.5312
388/849, train_loss: 0.8860
389/849, train_loss: 0.8674
390/849, train_loss: 0.7048
391/849, train_loss: 0.6794
392/849, train_loss: 0.6052
393/849, train_loss: 0.7073
394/849, train_loss: 0.6240
395/849, train_loss: 0.7249
396/849, train_loss: 0.6877
397/849, train_loss: 0.7249
398/849, train_loss: 0.6755
399/849, train_loss: 0.6941
400/849, train_loss: 0.6946
401/849, train_loss: 0.6936
402/849, train_loss: 0.6917
403/849, train_loss: 0.7253
404/849, train_loss: 0.6970
405/849, train_loss: 0.7556
406/849, train_loss: 0.7383
407/849, train_loss: 0.6851
408/849, train_loss: 0.6995
409/849, train_loss: 0.6851
410/849, train_loss: 0.6587
411/849, train_loss: 0.6201
412/849, train_loss: 0.5684
413/849, train_loss: 0.7336
414/849, train_loss: 0.6997
415/849, train_loss: 0.7812
416/849, train_loss: 0.7158
417/849, train_loss: 0.6733
418/849, train_loss: 0.6736
419/849, train_loss: 0.7400
420/849, train_loss: 0.6443
421/849, train_loss: 0.7588
422/849, train_loss: 0.7544
423/849, train_loss: 0.6692
424/849, train_loss: 0.7324
425/849, train_loss: 0.7373
426/849, train_loss: 0.7200
427/849, train_loss: 0.6667
428/849, train_loss: 0.6143
429/849, train_loss: 0.6226
430/849, train_loss: 0.7129
431/849, train_loss: 0.6663
432/849, train_loss: 0.8647
433/849, train_loss: 0.6863
434/849, train_loss: 0.7134
435/849, train_loss: 0.6455
436/849, train_loss: 0.6865
437/849, train_loss: 0.7063
438/849, train_loss: 0.8142
439/849, train_loss: 0.6057
440/849, train_loss: 0.7878
441/849, train_loss: 0.6511
442/849, train_loss: 0.6926
443/849, train_loss: 0.6929
444/849, train_loss: 0.7190
445/849, train_loss: 0.7568
446/849, train_loss: 0.6792
447/849, train_loss: 0.7039
448/849, train_loss: 0.6238
449/849, train_loss: 0.7419
450/849, train_loss: 0.8308
451/849, train_loss: 0.5348
452/849, train_loss: 0.8538
453/849, train_loss: 0.5525
454/849, train_loss: 0.7227
455/849, train_loss: 0.5469
456/849, train_loss: 0.6909
457/849, train_loss: 0.9023
458/849, train_loss: 0.8870
459/849, train_loss: 0.7332
460/849, train_loss: 0.8523
461/849, train_loss: 0.7292
462/849, train_loss: 0.6880
463/849, train_loss: 0.7290
464/849, train_loss: 0.7556
465/849, train_loss: 0.6975
466/849, train_loss: 0.6458
467/849, train_loss: 0.6094
468/849, train_loss: 0.8296
469/849, train_loss: 0.7488
470/849, train_loss: 0.6389
471/849, train_loss: 0.6438
472/849, train_loss: 0.7749
473/849, train_loss: 0.7756
474/849, train_loss: 0.7209
475/849, train_loss: 0.6328
476/849, train_loss: 0.6362
477/849, train_loss: 0.6260
478/849, train_loss: 0.7112
479/849, train_loss: 0.7065
480/849, train_loss: 0.6196
481/849, train_loss: 0.6492
482/849, train_loss: 0.7295
483/849, train_loss: 0.5706
484/849, train_loss: 0.5576
485/849, train_loss: 0.7917
486/849, train_loss: 0.8809
487/849, train_loss: 0.8967
488/849, train_loss: 0.5361
489/849, train_loss: 0.7466
490/849, train_loss: 0.5327
491/849, train_loss: 0.7683
492/849, train_loss: 0.7444
493/849, train_loss: 0.7815
494/849, train_loss: 0.7214
495/849, train_loss: 0.6820
496/849, train_loss: 0.7903
497/849, train_loss: 0.6115
498/849, train_loss: 0.5349
499/849, train_loss: 0.8740
500/849, train_loss: 0.7588
501/849, train_loss: 0.8582
502/849, train_loss: 0.6492
503/849, train_loss: 0.6851
504/849, train_loss: 0.6011
505/849, train_loss: 0.7336
506/849, train_loss: 0.7795
507/849, train_loss: 0.7695
508/849, train_loss: 0.6912
509/849, train_loss: 0.7234
510/849, train_loss: 0.8357
511/849, train_loss: 0.6785
512/849, train_loss: 0.6514
513/849, train_loss: 0.6899
514/849, train_loss: 0.8254
515/849, train_loss: 0.8428
516/849, train_loss: 0.7009
517/849, train_loss: 0.5593
518/849, train_loss: 0.5632
519/849, train_loss: 0.7209
520/849, train_loss: 0.8894
521/849, train_loss: 0.7461
522/849, train_loss: 0.5359
523/849, train_loss: 0.7070
524/849, train_loss: 0.7332
525/849, train_loss: 0.6895
526/849, train_loss: 0.6790
527/849, train_loss: 0.5166
528/849, train_loss: 0.9253
529/849, train_loss: 0.5125
530/849, train_loss: 0.7192
531/849, train_loss: 0.7190
532/849, train_loss: 0.9155
533/849, train_loss: 0.7175
534/849, train_loss: 0.7505
535/849, train_loss: 0.5671
536/849, train_loss: 0.8333
537/849, train_loss: 0.7346
538/849, train_loss: 0.6953
539/849, train_loss: 0.7046
540/849, train_loss: 0.7615
541/849, train_loss: 0.6748
542/849, train_loss: 0.6804
543/849, train_loss: 0.7092
544/849, train_loss: 0.7336
545/849, train_loss: 0.7144
546/849, train_loss: 0.6699
547/849, train_loss: 0.7068
548/849, train_loss: 0.7344
549/849, train_loss: 0.6990
550/849, train_loss: 0.6821
551/849, train_loss: 0.6748
552/849, train_loss: 0.6785
553/849, train_loss: 0.7278
554/849, train_loss: 0.7253
555/849, train_loss: 0.6660
556/849, train_loss: 0.6860
557/849, train_loss: 0.6899
558/849, train_loss: 0.7039
559/849, train_loss: 0.7102
560/849, train_loss: 0.6943
561/849, train_loss: 0.6963
562/849, train_loss: 0.6917
563/849, train_loss: 0.7036
564/849, train_loss: 0.6802
565/849, train_loss: 0.6465
566/849, train_loss: 0.7158
567/849, train_loss: 0.7263
568/849, train_loss: 0.6946
569/849, train_loss: 0.7039
570/849, train_loss: 0.6926
571/849, train_loss: 0.7131
572/849, train_loss: 0.6421
573/849, train_loss: 0.7546
574/849, train_loss: 0.6267
575/849, train_loss: 0.7874
576/849, train_loss: 0.6875
577/849, train_loss: 0.6223
578/849, train_loss: 0.7798
579/849, train_loss: 0.6926
580/849, train_loss: 0.6912
581/849, train_loss: 0.6797
582/849, train_loss: 0.6821
583/849, train_loss: 0.7146
584/849, train_loss: 0.6462
585/849, train_loss: 0.6382
586/849, train_loss: 0.7681
587/849, train_loss: 0.7605
588/849, train_loss: 0.7261
589/849, train_loss: 0.7480
590/849, train_loss: 0.6797
591/849, train_loss: 0.7200
592/849, train_loss: 0.6711
593/849, train_loss: 0.7773
594/849, train_loss: 0.6694
595/849, train_loss: 0.6919
596/849, train_loss: 0.7124
597/849, train_loss: 0.6138
598/849, train_loss: 0.6987
599/849, train_loss: 0.6060
600/849, train_loss: 0.5789
601/849, train_loss: 0.8445
602/849, train_loss: 0.7141
603/849, train_loss: 0.5457
604/849, train_loss: 0.5356
605/849, train_loss: 0.5244
606/849, train_loss: 0.6782
607/849, train_loss: 0.4690
608/849, train_loss: 0.7284
609/849, train_loss: 0.8010
610/849, train_loss: 1.0791
611/849, train_loss: 0.7196
612/849, train_loss: 0.7347
613/849, train_loss: 1.0576
614/849, train_loss: 1.0200
615/849, train_loss: 0.7074
616/849, train_loss: 0.7269
617/849, train_loss: 0.9216
618/849, train_loss: 0.6567
619/849, train_loss: 0.5896
620/849, train_loss: 0.7935
621/849, train_loss: 0.7419
622/849, train_loss: 0.6499
623/849, train_loss: 0.7239
624/849, train_loss: 0.6506
625/849, train_loss: 0.7053
626/849, train_loss: 0.7173
627/849, train_loss: 0.7251
628/849, train_loss: 0.7112
629/849, train_loss: 0.6345
630/849, train_loss: 0.6768
631/849, train_loss: 0.6348
632/849, train_loss: 0.7605
633/849, train_loss: 0.6340
634/849, train_loss: 0.6516
635/849, train_loss: 0.8281
636/849, train_loss: 0.5597
637/849, train_loss: 0.5818
638/849, train_loss: 0.5364
639/849, train_loss: 1.0674
640/849, train_loss: 1.1816
641/849, train_loss: 0.6672
642/849, train_loss: 0.7988
643/849, train_loss: 0.9651
644/849, train_loss: 0.7520
645/849, train_loss: 0.7954
646/849, train_loss: 0.4503
647/849, train_loss: 1.1528
648/849, train_loss: 0.7729
649/849, train_loss: 0.4065
650/849, train_loss: 0.7750
651/849, train_loss: 0.4128
652/849, train_loss: 0.7526
653/849, train_loss: 0.4113
654/849, train_loss: 0.7821
655/849, train_loss: 0.7604
656/849, train_loss: 1.1675
657/849, train_loss: 0.7357
658/849, train_loss: 1.0239
659/849, train_loss: 0.9463
660/849, train_loss: 0.8574
661/849, train_loss: 0.7227
662/849, train_loss: 0.6873
663/849, train_loss: 0.7253
664/849, train_loss: 0.7217
665/849, train_loss: 0.7053
666/849, train_loss: 0.6853
667/849, train_loss: 0.6980
668/849, train_loss: 0.6858
669/849, train_loss: 0.6941
670/849, train_loss: 0.6814
671/849, train_loss: 0.6968
672/849, train_loss: 0.6826
673/849, train_loss: 0.7832
674/849, train_loss: 0.7852
675/849, train_loss: 0.6311
676/849, train_loss: 0.6592
677/849, train_loss: 0.6768
678/849, train_loss: 0.7524
679/849, train_loss: 0.6074
680/849, train_loss: 0.6860
681/849, train_loss: 0.7095
682/849, train_loss: 0.6643
683/849, train_loss: 0.6543
684/849, train_loss: 0.7742
685/849, train_loss: 0.7458
686/849, train_loss: 0.7981
687/849, train_loss: 0.6396
688/849, train_loss: 0.6790
689/849, train_loss: 0.5862
690/849, train_loss: 0.7126
691/849, train_loss: 0.7451
692/849, train_loss: 0.8210
693/849, train_loss: 0.6538
694/849, train_loss: 0.7129
695/849, train_loss: 0.5220
696/849, train_loss: 0.9504
697/849, train_loss: 0.7632
698/849, train_loss: 0.4565
699/849, train_loss: 0.7594
700/849, train_loss: 1.0625
701/849, train_loss: 1.0063
702/849, train_loss: 0.7263
703/849, train_loss: 0.7827
704/849, train_loss: 0.7209
705/849, train_loss: 0.5276
706/849, train_loss: 0.5488
707/849, train_loss: 0.7024
708/849, train_loss: 0.8518
709/849, train_loss: 0.8333
710/849, train_loss: 0.6658
711/849, train_loss: 0.6328
712/849, train_loss: 0.7314
713/849, train_loss: 0.7151
714/849, train_loss: 0.6799
715/849, train_loss: 0.6375
716/849, train_loss: 0.7214
717/849, train_loss: 0.7224
718/849, train_loss: 0.7063
719/849, train_loss: 0.6975
720/849, train_loss: 0.6929
721/849, train_loss: 0.6836
722/849, train_loss: 0.7192
723/849, train_loss: 0.6733
724/849, train_loss: 0.7158
725/849, train_loss: 0.7102
726/849, train_loss: 0.6536
727/849, train_loss: 0.6731
728/849, train_loss: 0.6038
729/849, train_loss: 0.8015
730/849, train_loss: 0.8113
731/849, train_loss: 0.7163
732/849, train_loss: 0.7498
733/849, train_loss: 0.6360
734/849, train_loss: 0.6514
735/849, train_loss: 0.6636
736/849, train_loss: 0.7053
737/849, train_loss: 0.6675
738/849, train_loss: 0.6367
739/849, train_loss: 0.6587
740/849, train_loss: 0.8074
741/849, train_loss: 0.5872
742/849, train_loss: 0.6382
743/849, train_loss: 0.7810
744/849, train_loss: 0.5640
745/849, train_loss: 0.8574
746/849, train_loss: 0.8442
747/849, train_loss: 0.8325
748/849, train_loss: 0.5767
749/849, train_loss: 0.6819
750/849, train_loss: 0.7930
751/849, train_loss: 0.7209
752/849, train_loss: 0.6348
753/849, train_loss: 0.7295
754/849, train_loss: 0.6628
755/849, train_loss: 0.6499
756/849, train_loss: 0.6611
757/849, train_loss: 0.6467
758/849, train_loss: 0.6174
759/849, train_loss: 0.5750
760/849, train_loss: 0.7263
761/849, train_loss: 0.7522
762/849, train_loss: 0.5502
763/849, train_loss: 0.7935
764/849, train_loss: 0.7375
765/849, train_loss: 1.0415
766/849, train_loss: 0.9983
767/849, train_loss: 1.0010
768/849, train_loss: 1.0024
769/849, train_loss: 0.4805
770/849, train_loss: 0.9233
771/849, train_loss: 0.5420
772/849, train_loss: 0.7251
773/849, train_loss: 0.5867
774/849, train_loss: 0.5801
775/849, train_loss: 0.5745
776/849, train_loss: 0.8284
777/849, train_loss: 0.8062
778/849, train_loss: 0.7095
779/849, train_loss: 0.8037
780/849, train_loss: 0.7080
781/849, train_loss: 0.6821
782/849, train_loss: 0.6792
783/849, train_loss: 0.7114
784/849, train_loss: 0.6711
785/849, train_loss: 0.6787
786/849, train_loss: 0.7283
787/849, train_loss: 0.7422
788/849, train_loss: 0.7148
789/849, train_loss: 0.6714
790/849, train_loss: 0.6562
791/849, train_loss: 0.6602
792/849, train_loss: 0.6255
793/849, train_loss: 0.6975
794/849, train_loss: 0.8110
795/849, train_loss: 0.6985
796/849, train_loss: 0.7405
797/849, train_loss: 0.5767
798/849, train_loss: 0.7129
799/849, train_loss: 0.5413
800/849, train_loss: 0.8657
801/849, train_loss: 0.9082
802/849, train_loss: 0.8586
803/849, train_loss: 0.8511
804/849, train_loss: 0.7036
805/849, train_loss: 0.7051
806/849, train_loss: 0.6975
807/849, train_loss: 0.7317
808/849, train_loss: 0.7021
809/849, train_loss: 0.7104
810/849, train_loss: 0.7148
811/849, train_loss: 0.6758
812/849, train_loss: 0.6692
813/849, train_loss: 0.7144
814/849, train_loss: 0.7312
815/849, train_loss: 0.6250
816/849, train_loss: 0.7717
817/849, train_loss: 0.6252
818/849, train_loss: 0.7666
819/849, train_loss: 0.7527
820/849, train_loss: 0.6992
821/849, train_loss: 0.7000
822/849, train_loss: 0.7092
823/849, train_loss: 0.7229
824/849, train_loss: 0.7026
825/849, train_loss: 0.6838
826/849, train_loss: 0.6638
827/849, train_loss: 0.6658
828/849, train_loss: 0.6682
829/849, train_loss: 0.6755
830/849, train_loss: 0.7058
831/849, train_loss: 0.7725
832/849, train_loss: 0.6836
833/849, train_loss: 0.6970
834/849, train_loss: 0.6265
835/849, train_loss: 0.6313
836/849, train_loss: 0.6799
837/849, train_loss: 0.6038
838/849, train_loss: 0.5825
839/849, train_loss: 0.7017
840/849, train_loss: 0.7366
841/849, train_loss: 0.6943
842/849, train_loss: 0.7134
843/849, train_loss: 0.7197
844/849, train_loss: 0.6718
845/849, train_loss: 0.7146
846/849, train_loss: 0.7468
847/849, train_loss: 0.4912
848/849, train_loss: 0.4989
849/849, train_loss: 0.4791
epoch 1 average loss: 0.7219
Epoch time duration: 552.3621768951416
----------
epoch 2
1/849, train_loss: 0.7377
2/849, train_loss: 1.0046
3/849, train_loss: 0.4502
4/849, train_loss: 0.7456
5/849, train_loss: 0.4664
6/849, train_loss: 0.7317
7/849, train_loss: 0.4318
8/849, train_loss: 1.0723
9/849, train_loss: 0.6942
10/849, train_loss: 1.0640
11/849, train_loss: 0.7465
12/849, train_loss: 0.4382
13/849, train_loss: 0.7435
14/849, train_loss: 0.4551
15/849, train_loss: 0.7344
16/849, train_loss: 0.7183
17/849, train_loss: 0.7166
18/849, train_loss: 0.4648
19/849, train_loss: 0.4666
20/849, train_loss: 0.7000
21/849, train_loss: 0.4570
22/849, train_loss: 0.7627
23/849, train_loss: 1.0127
24/849, train_loss: 0.4585
25/849, train_loss: 0.4557
26/849, train_loss: 0.7292
27/849, train_loss: 1.0156
28/849, train_loss: 0.4462
29/849, train_loss: 0.7277
30/849, train_loss: 0.7318
31/849, train_loss: 0.7642
32/849, train_loss: 0.7479
33/849, train_loss: 0.7275
34/849, train_loss: 0.7419
35/849, train_loss: 0.6993
36/849, train_loss: 0.7087
37/849, train_loss: 0.7183
38/849, train_loss: 0.4967
39/849, train_loss: 0.7100
40/849, train_loss: 0.7136
41/849, train_loss: 0.9092
42/849, train_loss: 0.7146
43/849, train_loss: 0.7048
44/849, train_loss: 0.8447
45/849, train_loss: 0.6909
46/849, train_loss: 0.6819
47/849, train_loss: 0.7688
48/849, train_loss: 0.6719
49/849, train_loss: 0.6545
50/849, train_loss: 0.6658
51/849, train_loss: 0.6953
52/849, train_loss: 0.6589
53/849, train_loss: 0.7178
54/849, train_loss: 0.6875
55/849, train_loss: 0.7241
56/849, train_loss: 0.6951
57/849, train_loss: 0.6780
58/849, train_loss: 0.7278
59/849, train_loss: 0.6914
60/849, train_loss: 0.6318
61/849, train_loss: 0.6035
62/849, train_loss: 0.7949
63/849, train_loss: 0.6066
64/849, train_loss: 0.6306
65/849, train_loss: 0.5894
66/849, train_loss: 0.8599
67/849, train_loss: 0.6235
68/849, train_loss: 0.5835
69/849, train_loss: 0.8433
70/849, train_loss: 0.6838
71/849, train_loss: 0.5045
72/849, train_loss: 0.7268
73/849, train_loss: 0.6758
74/849, train_loss: 0.5959
75/849, train_loss: 0.6560
76/849, train_loss: 0.7351
